author,n_artigos_pub,affiliation,city,country
Huang J.Y.,1,National Taipei University,Taipei,Taiwan
Muthoni F.,1,International Institute of Tropical Agriculture (IITA),Hyderabad,Tanzania
Niu L.,1,Yunnan Normal University,Chenggong,China
Caird S.P.,1,The Open University,Milton Keynes,United Kingdom
Shirowzhan S.,1,UNSW Sydney,Sydney,Australia
Yan C.,1,Tsinghua University,Beijing,China
Kothencz G.,1,Universität Salzburg,Salzburg,Austria
Osaba E.,1,TECNALIA,Donostia-San Sebastian,Spain
Biloria N.,1,University of Technology Sydney,Sydney,Australia
Shin D.,1,ETH Zürich,Zurich,Switzerland
Diao M.,1,National University of Singapore,Singapore City,Singapore
Bulkeley H.,1,Durham University,Durham,United Kingdom
Ellen I.G.,1,Robert F. Wagner Graduate School of Public Service,New York,United States
Dakssa L.,1,Middle East College,Rusayl,Oman
Ye F.,1,Mianyang Normal University,Mianyang,China
Shu X.,1,Hunan City University,Yiyang,China
Angelakis V.,1,Linköpings Universitet,Linkoping,Sweden
Kato T.,1,Nagoya University,Nagoya,Japan
Tenney M.,1,Université McGill,Montreal,Canada
Sun Y.X.,1,Yancheng Teachers University,Yancheng,China
Huang W.,1,Toronto Metropolitan University,Toronto,Canada
Moeckel R.,1,"University of Maryland, College Park",College Park,United States
