author,n_artigos_pub,affiliation,city,country
Bovkir R.,1,Gebze Teknik Üniversitesi,Gebze,Turkey
Luo Y.,1,School of Management and Economics of UESTC,Chengdu,China
Lu D.,1,Zhejiang University,Hangzhou,China
Sun L.,1,Beijing Forestry University,Beijing,China
Magyari-Sáska Z.,1,Universitatea Babeș-Bolyai,Cluj Napoca,Romania
Wu R.,1,Guangdong University of Technology,Guangzhou,China
Jun Z.,1,Yunnan University,Kunming,China
Lieske S.N.,1,The University of Queensland,Brisbane,Australia
Seve B.,1,ETSAB-UPC,Mallorca,Spain
Sun J.,1,Nanjing University,Nanjing,China
Rolwes A.,1,Fachhochschule Mainz - University of Applied Sciences,Mainz,Germany
Milusheva S.,1,"The World Bank, USA","Washington, D.C.",United States
Cornacchia G.,1,Università di Pisa,Pisa,Italy
McKenzie G.,1,Université McGill,Montreal,Canada
Huang C.,1,Northwest Institute of Eco-Environment and Resources,Lanzhou,China
Xue F.,1,The University of Hong Kong,Hong Kong,Hong Kong
Iijima K.,1,The University of Tokyo,Tokyo,Japan
Tian Y.,1,Beijing Normal University,Beijing,China
Lyu J.,1,Ltd.,Guangzhou,China
Fekih M.,1,Orange Labs,Issy-les-Moulineaux,France
Fu C.,1,Nanchang University,Nanchang,China
Zacharias J.,1,Peking University,Beijing,China
Turkina E.,1,HEC Montréal,Montreal,Canada
Chun S.A.,1,The City University of New York,New York,United States
Ji H.,1,Sichuan University,Chengdu,China
Yan L.,1,Singapore-MIT Alliance for Research and Technology,Singapore City,Singapore
Ren J.,1,Shanghai Jiao Tong University,Shanghai,China
Jana A.,1,Indian Institute of Technology Bombay,Mumbai,India
Jensen P.,1,École Normale Supérieure de Lyon,Lyon,France
Lyashchenko A.,1,Kyiv National University of Construction and Architecture,Kyiv,Ukraine
Senousi A.M.,1,The Hong Kong Polytechnic University,Hong Kong,Hong Kong
Koc M.,1,TOBB University of Economics and Technology,Ankara,Turkey
Jin M.,1,Harbin Institute of Technology,Harbin,China
Amaduzzi S.,1,Università degli Studi di Udine,Udine,Italy
Xu H.,1,China University of Geosciences,Wuhan,China
Chen J.,1,Xi'an University of Architecture and Technology,Xi'an,China
Wu W.N.,1,National Sun Yat-Sen University,Kaohsiung,Taiwan
Gil E.,1,SNU College of Engineering,Seoul,South Korea
Zhou T.,1,Southwest Jiaotong University,Chengdu,China
Sottini V.A.,1,Università degli Studi di Firenze,Florence,Italy
Shan J.,1,Wuhan University,Wuhan,China
Huiying L.,1,Changchun University of Technology,Changchun,China
Ma Y.,1,Wuhan University,Wuhan,China
Birkin M.,1,University of Leeds,Leeds,United Kingdom
Truffello R.,1,Centro de Desarrollo Urbano Sustentable,Santiago,Chile
Yu X.,1,Sun Yat-Sen University,Guangzhou,China
Montalvo-Martel M.,1,"Consejo Nacional de Humanidades, Ciencias y Tecnologías",Mexico,Mexico
Boeing G.,1,University of Southern California,Los Angeles,United States
Abdul-Rahman M.,1,The Hong Kong Polytechnic University,Hong Kong,Hong Kong
Jiang H.,1,Universiteit Utrecht,Utrecht,Netherlands
Carpio-Pinedo J.,1,Universidad Politécnica de Madrid,Madrid,Spain
Jinyue T.,1,East China Normal University,Shanghai,China
Wei F.,1,Institute of Zoology Chinese Academy of Sciences,Beijing,China
Faroqi H.,1,The University of Queensland,Brisbane,Australia
Listerborn C.,1,Malmö Universitet,Malmo,Sweden
Meng H.,1,China Academy of Transportation Sciences,Beijing,China
Lin Y.,1,Kanazawa University,Kanazawa,Japan
Chen R.,1,"Key Laboratory of Geographic Information Science, Ministry of Education",Shanghai,China
Zhu X.,1,Beijing Jiaotong University,Beijing,China
Goodspeed R.,1,"University of Michigan, Ann Arbor",Ann Arbor,United States
Adams D.,1,The Cognitive Labor Institute,New York,United States
Yubero C.,1,Universidad Complutense de Madrid,Madrid,Spain
Grishin V.N.,1,The State University of Management,Moscow,Russian Federation
Wang N.,1,Peking University,Beijing,China
Sim J.,1,Korea Research Institute for Human Settlements,Sejong,South Korea
Jun H.J.,1,Hanyang University,Seoul,South Korea
Lyu K.,1,Shanghai University,Shanghai,China
Tie C.,1,Shijiazhuang Tiedao University,Shijiazhuang,China
Wei R.,1,Yunnan Normal University,Chenggong,China
Niu N.,1,Sun Yat-Sen University,Guangzhou,China
Zhang J.,1,Beijing Tsinghua Tongheng Urban Planning and Design Institute,Beijing,China
Guido G.,1,Università della Calabria,Rende,Italy
Su S.,1,Wuhan University,Wuhan,China
Deal B.,1,University of Illinois Urbana-Champaign,Urbana,United States
French S.P.,1,Georgia Institute of Technology,Atlanta,United States
Tang Z.,1,University of Nebraska–Lincoln,Lincoln,United States
Shreenath V.M.,1,The Royal Institute of Technology (KTH),Stockholm,Sweden
Thakuriah P.,1,University of Glasgow,Glasgow,United Kingdom
Karduni A.,1,The University of North Carolina at Charlotte,Charlotte,United States
Leao S.Z.,1,UNSW Sydney,Sydney,Australia
de Wijs L.,1,Universiteit van Amsterdam,Amsterdam,Netherlands
Langenheim N.,1,Monash University,Melbourne,Australia
Kwon Y.,1,Landscape and Urban Laboratory,"Dongan-gu, Anyang-si",South Korea
Wilmott C.,1,The University of Manchester,Manchester,United Kingdom
Sotomayor-Gómez B.,1,Universidad Austral de Chile,Valdivia,Chile
Othengrafen F.,1,Technische Universität Dortmund,Dortmund,Germany
Shi Z.,1,The Hong Kong Polytechnic University,Hong Kong,Hong Kong
Jia Z.,1,Tsinghua University,Beijing,China
Deebak B.D.,1,Vellore Institute of Technology,Vellore,India
Hui E.C.M.,1,The Hong Kong Polytechnic University,Hong Kong,Hong Kong
Lehavi A.,1,Reichman University,Herzliya,Israel
Pincetl S.,1,"University of California, Los Angeles",Los Angeles,United States
Di Ludovico D.,1,Università degli Studi dell'Aquila,L'Aquila,Italy
Huo F.,1,Global Institute for Water Security,Saskatoon,Canada
Remedio J.A.,1,Universidade Metodista de Piracicaba,Piracicaba,Brazil
Wu Y.C.,1,National Open University,Taipei,Taiwan
Guo X.,1,Shaanxi Normal University,Xi'an,China
Shi P.,1,Wuhan University,Wuhan,China
Mager T.,1,Faculteit Bouwkunde van de TU Delft,Delft,Netherlands
Hodgkins S.,1,CLI,Los Angeles,United States
Zhuravleva N.A.,1,Emperor Alexander I St. Petersburg State Transport University,Saint Petersburg,Russian Federation
Gang L.,1,College of Yiyang Normal,Yiyang,China
Zheng L.,1,South China University of Technology,Guangzhou,China
Sayah Z.,1,Université Kasdi Merbah Ouargla,Ouargla,Algeria
Popescu G.H.,1,Dimitrie Cantemir Christian University,Bucharest,Romania
Nelson A.,1,AAER,Ottawa,Canada
Jonescu E.,1,Curtin University,Perth,Australia
Yurí Hiroki S.M.,1,Pontifícia Universidade Católica de São Paulo,Sao Paulo,Brazil
Ye X.,1,Texas A&amp;M University,College Station,United States
Bhattarai K.,1,"School of Geoscience, Physics and Safety",Warrensburg,United States
Pilgun M.,1,Russian Academy of Sciences,Moscow,Russian Federation
Poplin A.,1,Iowa State University,Ames,United States
Lock O.,1,UNSW Sydney,Sydney,Australia
Miao C.,1,"Institute of Applied Ecology, Chinese Academy of Sciences",Shenyang,China
Engin Z.,1,University College London,London,United Kingdom
Tu W.,1,Shenzhen University,Shenzhen,China
Guan C.H.,1,NYU Shanghai,Shanghai,China
Rungskunroch P.,1,"University of California, Berkeley",Berkeley,United States
Lyu T.,1,Chang'an University,Xi'an,China
Zhu J.,1,Central South University,Changsha,China
Najari A.,1,IAAC,Barcelona,Spain
Jia Y.,1,Wuhan University,Wuhan,China
Luo S.,1,Beijing University of Civil Engineering and Architecture,Beijing,China
Buning R.J.,1,The University of Queensland,Brisbane,Australia
Hristov B.,1,Hochschule für Technik und Wirtschaft Berlin,Berlin,Germany
Sarkar S.,1,The University of Sydney,Sydney,Australia
Hudson L.,1,Urban Technologies at ISBDA,Fresno,United States
Milojevic-Dupont N.,1,Mercator Research Institute on Global Commons and Climate Change,Berlin,Germany
Kim B.,1,Sungkyunkwan University,Seoul,South Korea
Meng S.,1,Peking University,Beijing,China
Janowski A.,1,Uniwersytet Warminsko-Mazurski w Olsztynie,Olsztyn,Poland
Chapman D.,1,Smart City Software Systems Laboratory at AAER,Philadelphia,United States
Kovacs-Györi A.,1,Universität Salzburg,Salzburg,Austria
Jeang B.W.,1,Guangdong University of Science and Technology,Dongguan,China
Deng C.,1,Binghamton University State University of New York,Binghamton,United States
Jiang Z.,1,Tongji University,Shanghai,China
Taecharungroj V.,1,Mahidol University,Nakhon Pathom,Thailand
Kandt J.,1,University College London,London,United Kingdom
Graells-Garrido E.,1,Centro Nacional de Supercomputación,Barcelona,Spain
Lai J.,1,Northwest Normal University China,Lanzhou,China
Kim H.W.,1,Incheon National University,Incheon,South Korea
Feng J.,1,Peking University,Beijing,China
Fischer J.,1,Simon Fraser University,Burnaby,Canada
Ardic S.I.,1,Middle East Technical University (METU),Ankara,Turkey
Rich R.,1,Technion - Israel Institute of Technology,Haifa,Israel
Ferretti S.,1,"European Space Policy Institute, Austria",Vienna,Austria
White G.,1,Trinity College Dublin,Dublin,Ireland
Xu Y.,1,The Hong Kong Polytechnic University,Hong Kong,Hong Kong
Badji S.,1,Monash University,Melbourne,Australia
