@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread.value,freetoreadLabel.value,prism:issn,pii,prism:issueIdentifier,prism:isbn,pubmed-id,@_fa,affilname,affiliation-city,affiliation-country,language,year,main_author
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85207031077'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85207031077?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207031077&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85207031077&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0264275124007303'}]",https://api.elsevier.com/content/abstract/scopus_id/85207031077,SCOPUS_ID:85207031077,2-s2.0-85207031077,The attraction gradient of urban functions: How does functional mix at multiple scales predict urban vitality,Duan J.,Cities,,156,,2025-01-01,January 2025,10.1016/j.cities.2024.105516,0,Journal,ar,Article,105516,16956,0,False,,,02642751,S0264275124007303,,,,true,University College London,London,United Kingdom,en,2025,Duan J.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85212931669'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85212931669?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212931669&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85212931669&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85212931669,SCOPUS_ID:85212931669,2-s2.0-85212931669,Research on the thermal characteristics and influencing factors of population night-time in Chinese megacities under multi-source big data,Wu M.,World Regional Studies,,33,94-106,2024-12-15,15 December 2024,10.3969/j.issn.1004-9479.2024.12.20230223,0,Journal,ar,Article,,21101185482,0,False,,,10049479,,12,,,true,Southwest University of Science and Technology,Mianyang,China,en,2024,Wu M.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85208777216'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85208777216?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208777216&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85208777216&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85208777216,SCOPUS_ID:85208777216,2-s2.0-85208777216,Urban artificial intelligence: A guidebook for understanding concepts and technologies,Yigitcanlar T.,Urban Artificial Intelligence: A Guidebook for Understanding Concepts and Technologies,,,1-409,2024-12-12,12 December 2024,10.1201/9781003521457,0,Book,bk,Book,,21101258103,0,False,,,,,,"[{'@_fa': 'true', '$': '[9781003521457, 9781032861340]'}]",,true,Queensland University of Technology,Brisbane,Australia,en,2024,Yigitcanlar T.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85209789532'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85209789532?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209789532&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85209789532&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85209789532,SCOPUS_ID:85209789532,2-s2.0-85209789532,Analysing trends of computational urban science and data science approaches for sustainable development,Kumar D.,Computational Urban Science,27306852,4,,2024-12-01,December 2024,10.1007/s43762-024-00142-0,0,Journal,re,Review,33,21101142737,1,True,,,,,1,,,true,State University of New York Albany,Albany,United States,en,2024,Kumar D.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85208142920'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85208142920?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208142920&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85208142920&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0197397524002169'}]",https://api.elsevier.com/content/abstract/scopus_id/85208142920,SCOPUS_ID:85208142920,2-s2.0-85208142920,Changes in visitor behaviour across COVID-19 pandemic: Unveiling urban visitation dynamics and non-linear relationships with the built environment using mobile big data,Yuan L.,Habitat International,,154,,2024-12-01,December 2024,10.1016/j.habitatint.2024.103216,1,Journal,ar,Article,103216,13760,1,True,"[{'$': 'all'}, {'$': 'publisherhybridgold'}]","[{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]",01973975,S0197397524002169,,,,true,The University of Tokyo,Tokyo,Japan,en,2024,Yuan L.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85205314108'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85205314108?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205314108&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85205314108&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0966692324002242'}]",https://api.elsevier.com/content/abstract/scopus_id/85205314108,SCOPUS_ID:85205314108,2-s2.0-85205314108,Crafting a jogging-friendly city: Harnessing big data to evaluate the runnability of urban streets,Gao F.,Journal of Transport Geography,,121,,2024-12-01,December 2024,10.1016/j.jtrangeo.2024.104015,2,Journal,ar,Article,104015,29295,0,False,,,09666923,S0966692324002242,,,,true,Guangzhou Collaborative Innovation Center of Natural Resources Planning and Marine Technology,Guangzhou,China,en,2024,Gao F.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85203970018'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85203970018?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203970018&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85203970018&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0264275124006383'}]",https://api.elsevier.com/content/abstract/scopus_id/85203970018,SCOPUS_ID:85203970018,2-s2.0-85203970018,Spatial equity in healthcare access: An opportunity-utilization perspective,Du F.,Cities,,155,,2024-12-01,December 2024,10.1016/j.cities.2024.105424,0,Journal,ar,Article,105424,16956,0,False,,,02642751,S0264275124006383,,,,true,University of Electronic Science and Technology of China,Chengdu,China,en,2024,Du F.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85203424868'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85203424868?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203424868&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85203424868&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0264275124005547'}]",https://api.elsevier.com/content/abstract/scopus_id/85203424868,SCOPUS_ID:85203424868,2-s2.0-85203424868,Commentary: A road map for future data-driven urban planning and environmental health research,Dyer G.M.C.,Cities,,155,,2024-12-01,December 2024,10.1016/j.cities.2024.105340,0,Journal,ar,Article,105340,16956,1,True,"[{'$': 'all'}, {'$': 'publisherhybridgold'}]","[{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]",02642751,S0264275124005547,,,,true,Instituto de Salud Global de Barcelona,Barcelona,Spain,en,2024,Dyer G.M.C.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85203291963'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85203291963?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203291963&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85203291963&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85203291963,SCOPUS_ID:85203291963,2-s2.0-85203291963,Digital finance policy and the challenge of air pollution in China,Li L.,Humanities and Social Sciences Communications,26629992,11,,2024-12-01,December 2024,10.1057/s41599-024-03637-7,0,Journal,ar,Article,1154,21101018925,1,True,"[{'$': 'all'}, {'$': 'publisherfullgold'}]","[{'$': 'All Open Access'}, {'$': 'Gold'}]",,,1,,,true,Central University of Finance and Economics,Beijing,China,en,2024,Li L.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85201150502'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85201150502?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201150502&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85201150502&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85201150502,SCOPUS_ID:85201150502,2-s2.0-85201150502,Spatial Quality Optimization Analysis of Streets in Historical Urban Areas Based on Street View Perception and Multisource Data,Xu J.,Journal of Urban Planning and Development,19435444,150,,2024-12-01,1 December 2024,10.1061/JUPDDM.UPENG-4770,1,Journal,ar,Article,05024036,13954,0,False,,,07339488,,4,,,true,Hefei University of Technology,Hefei,China,en,2024,Xu J.
